vehicle_make_model,prices
M2GO X1,Rs.1.11 Lakh*
M2GO Civitas,Rs.1.27 Lakh*
Merico Fashia,"Rs.61,311*"
Merico Eagle-100(6.0),"Rs.49,781*"
Merico Evanka,"Rs.62,505*"
Merico Speedstar,"Rs.53,692*"
Merico Eagle-100(4.8),"Rs.42,850*"
NDS ECO MOTORS Lio Plus,Rs.1.24 Lakh*
NDS ECO MOTORS Lio,"Rs.88,166*"
NIJ Automotive Accelero R14,"Rs.49,731 - 73,326*"
NIJ Automotive Accelero X-Pro,"Rs.58,100 - 1.10 Lakh*"
NIJ Automotive Accelero Plus,"Rs.55,200 - 77,625*"
NIJ Automotive QV60,"Rs.54,625 - 77,050*"
NIJ Automotive Flion,"Rs.57,788 - 76,763*"
Numeros Diplos Pro,Rs.1.37 Lakh*
Numeros Diplos i-pro,Rs.1.53 Lakh*
Okaya Faast,Rs.1.10 - 1.20 Lakh*
Okaya Freedum,"Rs.69,950*"
Okaya Faast F2B,"Rs.89,950*"
Okaya Faast F2F,"Rs.79,950*"
Okaya Faast F2T,"Rs.92,900*"
Okaya ClassIQ,"Rs.74,499*"
Okaya Motofaast,Rs.1.25 Lakh*
Omega Sharq,"Rs.75,600*"
Omega Mopido,"Rs.83,790*"
One Moto Byka,Rs.1.80 Lakh*
One Moto Commuta,Rs.1.30 Lakh*
One Moto Electa,Rs.1.99 Lakh*
Ozotec Bheem,"Rs.65,990*"
Ozotec Flio,Rs.1.14 - 1.33 Lakh*
Poise Grace,"Rs.97,174 - 1.08 Lakh*"
Poise NX120,Rs.1.16 - 1.45 Lakh*
Prevail Electric Elite,Rs.1.30 Lakh*
Prevail Electric Finesse,"Rs.99,999*"
Prevail Electric Wolfury,"Rs.89,999*"
PURE EV Epluto 7G,"Rs.77,999 - 92,999*"
PURE EV Epluto 7G Max,Rs.1.15 Lakh*
PURE EV ETrance Neo,"Rs.73,999 - 86,999*"
PURE EV Epluto 7G Pro,Rs.1.03 Lakh*
Quantum BZiness,"Rs.96,499 - 1.20 Lakh*"
Quantum Elektron,"Rs.91,000*"
Quantum Plasma,"Rs.89,000 - 1.25 Lakh*"
Quantum Milan,"Rs.89,000*"
Raftaar Galaxy,"Rs.51,900*"
Raftaar Electrica,"Rs.48,540 - 70,900*"
Raftaar Bumblebee,"Rs.88,000*"
Raftaar Cruzer R1,"Rs.84,500*"
RBSeVA Rider,"Rs.67,689*"
RBSeVA Legend,"Rs.77,230*"
RBSeVA Marvel,"Rs.52,550*"
RBSeVA Rider New,"Rs.70,750*"
River Indie,Rs.1.38 Lakh*
Rowwet Zepop,"Rs.61,770 - 78,500*"
Rowwet Rame,Rs.1.15 Lakh*
Rowwet Eleq,Rs.1.16 Lakh*
Rowwet Vegatron,Rs.1.25 Lakh*
Rowwet Rame XL,Rs.1.92 Lakh*
Rugged G1,"Rs.78,498 - 1.03 Lakh*"
RunR HS Electric,Rs.1.14 Lakh*
Shema Eagle,"Rs.64,999 - 1.17 Lakh*"
Shema Tuff,"Rs.79,655 - 1.40 Lakh*"
Shema Hobby,"Rs.82,600*"
Shema Zoom,"Rs.67,000*"
Shema Bold,"Rs.82,200*"
Simple One,Rs.1.45 - 1.50 Lakh*
Simple Dot One,Rs.1.40 Lakh*
Sokudo Acute,"Rs.94,889 - 1.10 Lakh*"
Stella Moto SA 2000,"Rs.86,000 - 94,000*"
Stella Moto SA 1000,"Rs.68,000 - 75,000*"
Stella Moto BUZZ,"Rs.95,000*"
Super Eco T1,"Rs.56,772*"
Super Eco SE 2,"Rs.62,652*"
Super Eco S 2,Rs.1.05 Lakh*
Techo Electra Neo,"Rs.55,053*"
Techo Electra Raptor,"Rs.76,178*"
Techo Electra Saathi,"Rs.62,738*"
Techo Electra Emerge,"Rs.73,079*"
Thunderbolt Electra,"Rs.79,999*"
Thunderbolt Bee Plus,"Rs.86,999*"
Thunderbolt EZ,"Rs.57,999*"
Trinity Motors Dost,Rs.1.03 - 1.09 Lakh*
Trinity Motors Saathi,"Rs.85,999 - 93,999*"
Trinity Motors Amigo,"Rs.74,999*"
Trinity Motors Rafiki,"Rs.69,999 - 76,999*"
Trinity Motors Friend,Rs.1.04 - 1.13 Lakh*
Trinity Motors Yaarii,"Rs.69,999 - 76,999*"
Trinity Motors Rafiki ZL3,"Rs.84,855 - 91,111*"
Trinity Motors Mitra,"Rs.73,999 - 79,999*"
Ujaas eGo LA,"Rs.34,880 - 39,880*"
Ujaas eSpa LA,"Rs.48,174*"
Ujaas eGo Li,"Rs.50,880 - 53,880*"
Ujaas eGo T3,"Rs.59,724 - 70,224*"
Ujaas eSpa Li,"Rs.54,880*"
Vegh S25,"Rs.77,999*"
Vegh L25,"Rs.78,999*"
Vegh S60,"Rs.99,000 - 1.20 Lakh*"
Velev Motors VEV 01,"Rs.32,500*"
Velev Motors VIO,"Rs.52,000*"
Vespa VXL 125,Rs.1.33 - 1.35 Lakh*
Vespa VXL 150,Rs.1.46 - 1.48 Lakh*
Vespa SXL 125,Rs.1.37 - 1.42 Lakh*
Vespa SXL 150,Rs.1.51 - 1.56 Lakh*
Vespa Justin Bieber Edition,Rs.6.46 Lakh*
Vespa ZX,Rs.1.18 Lakh*
Vida V1,Rs.1.20 - 1.50 Lakh*
Viertric XL,"Rs.70,000*"
Viertric Max,"Rs.68,000*"
Viertric Mist,"Rs.72,000*"
Viertric Eagle,"Rs.70,095*"
Warivo Motors Nexa,"Rs.58,300 - 74,300*"
Warivo Motors Queen,"Rs.46,800*"
Warivo Motors Enduro,"Rs.53,800*"
Warivo Motors Queen SX,"Rs.75,300*"
Warivo Motors Smarty,"Rs.74,300*"
White Carbon Motors GT5,Rs.1.25 Lakh*
White Carbon Motors O3,"Rs.55,900*"
Wroley Platina,"Rs.73,700*"
Wroley Posh,"Rs.78,100*"
Wroley Mars,"Rs.66,000*"
Yo Edge,"Rs.49,000*"
Yo Drift,"Rs.51,000*"
YUKIE Shiga,"Rs.51,115*"
YUKIE Yuvee,"Rs.44,385*"
Yulu Wynn,"Rs.55,555*"
Zelio Gracy i,"Rs.56,825 - 59,755*"
Zelio Eeva,"Rs.54,575 - 57,475*"
Zelio Legender,"Rs.59,048 - 60,476*"
Zelio Gracy,"Rs.56,675 - 59,755*"
Zelio Eeva ZX,"Rs.59,000 - 62,000*"
