vehicle_make_model,prices
Suzuki Gixxer SF 150,Rs.1.37 - 1.46 Lakh*
Suzuki Avenis,"Rs.92,000 - 92,800*"
Suzuki Gixxer SF 250,Rs.1.92 - 2.06 Lakh*
Suzuki V-Strom SX,Rs.2.12 Lakh*
Suzuki Gixxer 250,Rs.1.81 - 1.98 Lakh*
Suzuki V-Strom 800 DE,Rs.10.30 Lakh*
Suzuki Katana,Rs.13.61 Lakh*
ABZO VS01,Rs.1.45 Lakh*
ADMS Mantra,"Rs.98,000*"
ADMS EVA,Rs.1.35 Lakh*
ADMS GTR,"Rs.79,800*"
ADMS Sathi,"Rs.99,000*"
ADMS Bravo,Rs.1.85 Lakh*
ADMS DB,Rs.1.33 Lakh*
ADMS Maevel,"Rs.97,000*"
ADMS Legend,"Rs.97,000*"
ADMS Rame,Rs.1.25 Lakh*
ADMS TTX,Rs.1.15 Lakh*
ADMS Racer,Rs.1.10 Lakh*
Aeroride YB2000,"Rs.97,100 - 1.30 Lakh*"
Aeroride Bravo,Rs.1.59 Lakh*
Aeroride Aero,"Rs.61,445 - 79,445*"
Aeroride E-Spark,"Rs.69,445 - 1.12 Lakh*"
Aprilia Tuareg 660,Rs.18.85 - 19.16 Lakh*
Aprilia RS 457,Rs.4.10 Lakh*
Aprilia SR 160,Rs.1.34 - 1.43 Lakh*
Aprilia RS 660,Rs.17.74 Lakh*
Aprilia SR 125,Rs.1.25 Lakh*
Aprilia RSV4,Rs.31.26 Lakh*
Aprilia SXR 160,Rs.1.46 Lakh*
Aprilia SR Storm,Rs.1.11 Lakh*
Aprilia Tuono V4,Rs.20.66 Lakh*
Aprilia SXR 125,Rs.1.35 Lakh*
Aprilia Tuono 660,Rs.17.44 Lakh*
Atumobile Atum Version 1.0,"Rs.61,500*"
Atumobile AtumVader,Rs.1.09 - 1.39 Lakh*
Benelli TRK 502,Rs.5.85 - 6.35 Lakh*
Benelli Imperiale 400,Rs.2.35 Lakh*
Benelli 502 C,Rs.5.25 Lakh*
Benelli TRK 251,Rs.2.89 Lakh*
Benelli Leoncino 500,Rs.4.99 Lakh*
Birla V6,Rs.1.60 - 2.28 Lakh*
Birla DMS,Rs.1.63 - 2.31 Lakh*
Birla Spark,"Rs.69,182 - 1.01 Lakh*"
Birla Quanto,"Rs.69,182 - 1.01 Lakh*"
Birla E-Smart,"Rs.71,780 - 1.04 Lakh*"
Birla XL,Rs.1.52 Lakh*
Birla JF,Rs.1.63 - 2.31 Lakh*
Birla Ambition,"Rs.73,817 - 1.08 Lakh*"
Birla DMG,Rs.2.37 - 3.05 Lakh*
Birla A 1-4,Rs.1.60 - 2.28 Lakh*
Birla Electro,"Rs.76,109 - 1.10 Lakh*"
BMW S 1000 RR,Rs.20.75 - 25.25 Lakh*
BMW G 310 RR,Rs.3.05 Lakh*
BMW G 310 R,Rs.2.90 Lakh*
BMW G 310 GS,Rs.3.30 Lakh*
BMW R 1250 GS,Rs.20.55 Lakh*
BMW C 400 GT,Rs.11.25 Lakh*
BMW R 1250 GS Adventure,Rs.22.50 Lakh*
BMW M 1000 RR,Rs.49 - 55 Lakh*
BMW F 850 GS,Rs.12.95 Lakh*
BMW K 1600 GTL,Rs.33 Lakh*
BMW F 850 GS Adventure,Rs.13.75 Lakh*
BMW S 1000 XR,Rs.22.10 Lakh*
BMW S 1000 R,Rs.19 - 23.30 Lakh*
BMW K 1600 Grand America,Rs.33 Lakh*
BMW F 900 XR,Rs.12.55 Lakh*
BMW R 18 Transcontinental,Rs.32.50 Lakh*
BMW K 1600 Bagger,Rs.29.90 Lakh*
BMW R 1250 RT,Rs.24.95 Lakh*
CFMoto 650MT,Rs.5.29 Lakh*
CFMoto 300NK,Rs.2.29 Lakh*
CFMoto 650NK,Rs.4.29 Lakh*
CFMoto 650GT,Rs.5.59 Lakh*
Cyborg Yoda,Rs.1.85 Lakh*
Cyborg Bob-e,"Rs.94,999*"
Ducati Panigale V4,Rs.27.73 - 69.99 Lakh*
Ducati Streetfighter V4,Rs.24.62 - 28 Lakh*
Ducati Diavel V4,Rs.25.91 Lakh*
Ducati Monster,Rs.12.95 - 15.95 Lakh*
Ducati Scrambler 800,Rs.10.39 - 12 Lakh*
Ducati SuperSport 950,Rs.16.06 - 19.11 Lakh*
Ducati Panigale V2,Rs.20.68 - 24.13 Lakh*
Ducati Multistrada V4,Rs.21.48 - 31.48 Lakh*
Ducati Diavel 1260,Rs.21.49 - 24.99 Lakh*
Ducati Multistrada 950,Rs.15.49 Lakh*
Ducati Hypermotard 950,Rs.16 - 17.99 Lakh*
Ducati Streetfighter V2,Rs.18.50 Lakh*
Ducati Multistrada V2,Rs.16.36 - 18.99 Lakh*
Ducati Scrambler 1100,Rs.11.95 - 15.99 Lakh*
Ducati Scrambler Desert Sled,Rs.10.99 - 12.09 Lakh*
Ducati DesertX,Rs.18.33 Lakh*
Earth Energy EV Evolve R,Rs.1.42 Lakh*
Earth Energy EV Glyde Plus,"Rs.95,000*"
Earth Energy EV Evolve Z,Rs.1.30 Lakh*
EeVe Wind,"Rs.59,999*"
EeVe Soul,Rs.1.20 Lakh*
EeVe Atreo,"Rs.68,999*"
EeVe Xeniaa,"Rs.79,999 - 86,999*"
EeVe Ahava,"Rs.62,499*"
Evtric Ride,"Rs.94,733 - 98,100*"
Evtric Axis,"Rs.75,482*"
Evtric Rise,Rs.1.42 Lakh*
Evtric Connect,"Rs.69,771 - 95,151*"
Harley Davidson X440,Rs.2.40 - 2.80 Lakh*
Harley Davidson Sportster S,Rs.15.54 Lakh*
Harley Davidson Fat Boy 114,Rs.24.49 Lakh*
Harley Davidson Nightster,Rs.12.24 - 12.99 Lakh*
Harley Davidson Pan America 1250,Rs.18.25 - 21.24 Lakh*
Harley Davidson Fat Bob,Rs.20.49 Lakh*
Harley Davidson Heritage Classic,Rs.26.59 Lakh*
Harley Davidson Street Glide Special,Rs.37.49 Lakh*
Harley Davidson Road Glide Special,Rs.40.49 Lakh*
Hop Electric LEO,"Rs.84,360 - 97,504*"
Hop Oxo,Rs.1.33 - 1.61 Lakh*
Hop Electric LYF,"Rs.67,500 - 74,500*"
Husqvarna Vitpilen 250,Rs.2.19 - 2.25 Lakh*
Husqvarna Svartpilen 250,Rs.2.25 Lakh*
Husqvarna Svartpilen 401,Rs.2.92 Lakh*
Indian Scout Bobber,Rs.17.17 - 17.37 Lakh*
Indian FTR,Rs.19.38 - 22.03 Lakh*
Indian Challenger,Rs.36.97 - 37.84 Lakh*
Indian Scout,Rs.17.83 - 18.33 Lakh*
Indian Roadmaster,Rs.43.49 - 46.77 Lakh*
Indian Pursuit,Rs.42.03 - 47.37 Lakh*
Indian Springfield Dark Horse,Rs.29.56 - 30.29 Lakh*
Indian Chieftain Limited,Rs.34.26 - 34.40 Lakh*
Indian Chief Bobber Dark Horse,Rs.22.82 - 22.86 Lakh*
Indian Chief Dark Horse,Rs.22.13 - 22.25 Lakh*
Indian Super Chief Limited,Rs.24.33 - 24.35 Lakh*
Indian Scout Rogue,Rs.17.28 - 17.41 Lakh*
Indian Springfield,Rs.32.73 - 33.05 Lakh*
Indian Chieftain Elite,Rs.38 Lakh*
Indian Chieftain Dark Horse,Rs.32 - 33.87 Lakh*
Jawa 42 Bobber,Rs.2.10 - 2.30 Lakh*
Jawa 42,Rs.1.98 Lakh*
Jawa Perak,Rs.2.13 Lakh*
Jawa 350,Rs.2.15 Lakh*
JHEV Delta R3,Rs.1.70 Lakh*
JHEV Alfa R5,Rs.1.12 Lakh*
JHEV Alfa K1,Rs.1.25 Lakh*
JHEV Delta V6,Rs.1.52 Lakh*
JHEV Alfa R3,Rs.1.25 Lakh*
JHEV Alfa R1,"Rs.89,999*"
JHEV Delta E5,Rs.1.46 Lakh*
